Column Tag,Attribute
State,State name
State_FIPS,State FIPS code
CountyAquifer,"State FIPS code, County FIPS code, Aquifer code"
CountyAquifer_Name,"State postal abbreviation, County name, Aquifer name"
PS-GWPop,"Public Supply, population served by groundwater, in thousands"
PS-GWPop-M,"Method used to estimate Public Supply, population served by groundwater"
PS-WGWFr,"Public Supply,  groundwater withdrawals, fresh, in million gallons per day (Mgal/d)"
PS-WGWFr-M,"Method used to estimate Public Supply, groundwater withdrawals, fresh"
PS-WGWSa,"Public Supply, groundwater withdrawals, saline, in Mgal/d"
PS-WGWSa-M,"Method used to estimate Public Supply, groundwater withdrawals, saline"
PS-WGWTo,"Public Supply, groundwater withdrawals, total, in Mgal/d"
DO-WGWFr,"Domestic, self-supplied groundwater withdrawals, fresh, in Mgal/d"
DO-WGWFr-M,"Method used to estimate Domestic, self-supplied groundwater withdrawals, fresh"
DO-SSPop,"Domestic, self-supplied population using groundwater, in thousands"
DO-SSPop-M,"Method used to estimate Domestic, self-supplied population using groundwater"
IN-WGWFr,"Industrial, self-supplied groundwater withdrawals, fresh, in Mgal/d"
IN-WGWFr-M,"Method used to estimate Industrial, self-supplied groundwater withdrawals, fresh"
IN-WGWSa,"Industrial, self-supplied groundwater withdrawals, saline, in Mgal/d"
IN-WGWSa-M,"Method used to estimate Industrial, self-supplied groundwater withdrawals, saline"
IN-WGWTo,"Industrial, self-supplied groundwater withdrawals, total, in Mgal/d"
PO-WGWFr,"Thermoelectric once-through, groundwater withdrawals, fresh, in Mgal/d"
PO-WGWFr-M,"Method used to estimate Thermoelectric once-through, groundwater withdrawals, fresh"
PO-WGWSa,"Thermoelectric once-through, groundwater withdrawals, saline, in Mgal/d"
PO-WGWSa-M,"Method used to estimate Thermoelectric once-through, groundwater withdrawals, saline"
PO-WGWTo,"Thermoelectric once-through, groundwater withdrawals, total, in Mgal/d"
PC-WGWFr,"Thermoelectric recirculating, groundwater withdrawals, fresh, in Mgal/d"
PC-WGWFr-M,"Method used to estimate Thermoelectric recirculating, groundwater withdrawals, fresh"
PC-WGWSa,"Thermoelectric recirculating, groundwater withdrawals, saline, in Mgal/d"
PC-WGWSa-M,"Method used to estimate Thermoelectric recirculating, groundwater withdrawals, saline"
PC-WGWTo,"Thermoelectric recirculating, groundwater withdrawals, total, in Mgal/d"
PT-WGWFr,"Thermoelectric, groundwater withdrawals, fresh, in Mgal/d"
PT-WGWSa,"Thermoelectric, groundwater withdrawals, saline, in Mgal/d"
PT-WGWTo,"Thermoelectric, groundwater withdrawals, total, in Mgal/d"
MI-WGWFr,"Mining, groundwater withdrawals, fresh, in Mgal/d"
MI-WGWFr-M,"Method used to estimate Mining, groundwater withdrawals, fresh"
MI-WGWSa,"Mining, groundwater withdrawals, saline, in Mgal/d"
MI-WGWSa-M,"Method used to estimate Mining, groundwater withdrawals, saline"
MI-WGWTo,"Mining, groundwater withdrawals, total, in Mgal/d"
LI-WGWFr,"Livestock, groundwater withdrawals, fresh, in Mgal/d"
LI-WGWFr-M,"Method used to estimate Livestock, groundwater withdrawals, fresh"
AQ-WGWFr,"Aquaculture, groundwater withdrawals, fresh, in Mgal/d"
AQ-WGWFr-M,"Method used to estimate Aquaculture, groundwater withdrawals, fresh"
AQ-WGWSa,"Aquaculture, groundwater withdrawals, saline, in Mgal/d"
AQ-WGWSa-M,"Method used to estimate Aquaculture, groundwater withdrawals, saline"
AQ-WGWTo,"Aquaculture, groundwater withdrawals, total, in Mgal/d"
IC-WGWFr,"Irrigation-Crop, groundwater withdrawals, fresh, in Mgal/d"
IC-WGWFr-M,"Method used to estimate Irrigation-Crop, groundwater withdrawals, fresh"
IG-WGWFr,"Irrigation-Golf, groundwater withdrawals, fresh, in Mgal/d"
IG-WGWFr-M,"Method used to estimate Irrigation-Golf, groundwater withdrawals, fresh"
IR-WGWFr,"Irrigation, groundwater withdrawals, fresh, in Mgal/d"
IR-WGWFr-M,"Method used to estimate Irrigation, groundwater withdrawals, fresh"
IT-WGWFr,"Irrigation, groundwater withdrawals, total, in Mgal/d"
TO-WGWFr,"Total groundwater withdrawals, fresh, in Mgal/d"
TO-WGWSa,"Total groundwater withdrawals, saline, in Mgal/d"
TO-WGWTo,"Total groundwater withdrawals, total, in Mgal/d"
