source_aquifer_code,source_aquifer_name,display_aquifer_id,allocation_weight,crosswalk_method,crosswalk_notes,reviewer_note
N100AKUNCD,Alaska unconsolidated-deposit aquifers,alaska_unconsolidated_deposit_aquifers,1.0,county_footprint_fallback,"No standalone polygon was available in the USGS principal-aquifer shapefile, so the display layer uses a county-footprint fallback built from 2015 county boundaries carrying withdrawal rows for this source aquifer.",Review county-footprint fallback before any local-scale interpretation.
N100ALLUVL,Alluvial aquifers,alluvial_aquifers,1.0,county_footprint_fallback,"No standalone polygon was available in the USGS principal-aquifer shapefile, so the display layer uses a county-footprint fallback built from 2015 county boundaries carrying withdrawal rows for this source aquifer.",Review county-footprint fallback before any local-scale interpretation.
N100BSNRGB,Basin and Range basin-fill aquifers,basin_and_range_basin_fill_aquifers,1.0,usgs_principal_aquifer_polygon,,
N100CACSTL,California Coastal Basin aquifers,california_coastal_basin_aquifers,1.0,usgs_principal_aquifer_polygon,,
N100CMBPLB,Columbia Plateau basin-fill aquifers,columbia_plateau_basin_fill_aquifers,1.0,usgs_principal_aquifer_polygon,,
N100GLCIAL,Sand and gravel aquifers (glaciated regions),sand_and_gravel_aquifers_glaciated_regions,1.0,county_footprint_fallback,"No standalone polygon was available in the USGS principal-aquifer shapefile, so the display layer uses a county-footprint fallback built from 2015 county boundaries carrying withdrawal rows for this source aquifer.",Review county-footprint fallback before any local-scale interpretation.
N100HGHPLN,High Plains aquifer,high_plains_aquifer,1.0,usgs_principal_aquifer_polygon,,
N100MSRVVL,Mississippi River Valley alluvial aquifer,mississippi_river_valley_alluvial_aquifer,1.0,usgs_principal_aquifer_polygon,,
N100PCFNWB,Pacific Northwest basin-fill aquifers,pacific_northwest_basin_fill_aquifers,1.0,usgs_principal_aquifer_polygon,,
N100PCFNWV,Pacific Northwest volcanic-rock aquifers,pacific_northwest_basaltic_rock_aquifers,1.0,usgs_principal_aquifer_polygon,Mapped source label 'Pacific Northwest volcanic-rock aquifers' to display geometry label 'Pacific Northwest basaltic-rock aquifers'.,Display label normalized to the published geometry label.
N100PCSRVR,Pecos River Basin alluvial aquifer,pecos_river_basin_alluvial_aquifer,1.0,usgs_principal_aquifer_polygon,,
N100SYMOUR,Seymour aquifer,seymour_aquifer,1.0,usgs_principal_aquifer_polygon,,
N100WLMLWD,Willamette Lowland basin-fill aquifers,willamette_lowland_basin_fill_aquifers,1.0,usgs_principal_aquifer_polygon,,
N300ADAVMS,Ada-Vamoosa aquifer,ada_vamoosa_aquifer,1.0,usgs_principal_aquifer_polygon,,
N300CNRLOK,Central Oklahoma aquifer,central_oklahoma_aquifer,1.0,usgs_principal_aquifer_polygon,,
N300COPLTS,Colorado Plateaus aquifers,colorado_plateaus_aquifers,1.0,usgs_principal_aquifer_polygon,,
N300ERLMZC,Early Mesozoic basin aquifers,early_mesozoic_basin_aquifers,1.0,usgs_principal_aquifer_polygon,,
N300JCBSVL,Jacobsville aquifer,jacobsville_aquifer,1.0,usgs_principal_aquifer_polygon,,
N300LCRTCS,Lower Cretaceous aquifers,lower_cretaceous_aquifers,1.0,usgs_principal_aquifer_polygon,,
N300LTRTRY,Lower Tertiary aquifers,lower_tertiary_aquifers,1.0,usgs_principal_aquifer_polygon,,
N300MRSHLL,Marshall aquifer,marshall_aquifer,1.0,usgs_principal_aquifer_polygon,,
N300NYSDSN,New York sandstone aquifers,new_york_sandstone_aquifers,1.0,usgs_principal_aquifer_polygon,,
N300PNSLVN,Pennsylvanian aquifers,pennsylvanian_aquifers,1.0,usgs_principal_aquifer_polygon,,
N300RSHSPG,Rush Springs aquifer,rush_springs_aquifer,1.0,usgs_principal_aquifer_polygon,,
N300STHCST,South Coast aquifer (Puerto Rico),puerto_rico_south_coast_aquifer,1.0,usgs_principal_aquifer_polygon,Mapped source label 'South Coast aquifer (Puerto Rico)' to display geometry label 'Puerto Rico south coast aquifer'.,Display label normalized to the published geometry label.
N300UPCTCS,Upper Cretaceous aquifers,upper_cretaceous_aquifers,1.0,usgs_principal_aquifer_polygon,,
