Method Code,Method Code Description,Class,Source,Type,Subtype
SUTU,"Reported site-specific, Water user, Capacity or flow rate, Unmodified",S,U,T,U
AUTU,"Areal aggregate, Water user, Capacity or flow rate, Unmodified",A,U,T,U
SGTU,"Reported site-specific, USGS, Capacity or flow rate, Unmodified",S,G,T,U
AGTU,"Areal aggregate, USGS, Capacity or flow rate, Unmodified",A,G,T,U
EGTU,"Estimated, USGS, Capacity or flow rate, Unmodified",E,G,T,U
SFTU,"Reported site-specific, Federal agency, Capacity or flow rate, Unmodified",S,F,T,U
AFTU,"Areal aggregate, Federal agency, Capacity or flow rate, Unmodified",A,F,T,U
SSTU,"Reported site-specific, State agency, Capacity or flow rate, Unmodified",S,S,T,U
ASTU,"Areal aggregate, State agency, Capacity or flow rate, Unmodified",A,S,T,U
ESTU,"Estimated, State agency, Capacity or flow rate, Unmodified",E,S,T,U
SLTU,"Reported site-specific, Other government agency, Capacity or flow rate, Unmodified",S,L,T,U
ALTU,"Areal aggregate, Other government agency, Capacity or flow rate, Unmodified",A,L,T,U
SNTU,"Reported site-specific, NGO or academic institution, Capacity or flow rate, Unmodified",S,N,T,U
ANTU,"Areal aggregate, NGO or academic institution, Capacity or flow rate, Unmodified",A,N,T,U
SUMU,"Reported site-specific, Water user, Model, Unmodified",S,U,M,U
AUMU,"Areal aggregate, Water user, Model, Unmodified",A,U,M,U
SGMU,"Reported site-specific, USGS, Model, Unmodified",S,G,M,U
AGMU,"Areal aggregate, USGS, Model, Unmodified",A,G,M,U
EGMU,"Estimated, USGS, Model, Unmodified",E,G,M,U
SFMU,"Reported site-specific, Federal agency, Model, Unmodified",S,F,M,U
AFMU,"Areal aggregate, Federal agency, Model, Unmodified",A,F,M,U
SSMU,"Reported site-specific, State agency, Model, Unmodified",S,S,M,U
ASMU,"Areal aggregate, State agency, Model, Unmodified",A,S,M,U
ESMU,"Estimated, State agency, Model, Unmodified",E,S,M,U
SLMU,"Reported site-specific, Other government agency, Model, Unmodified",S,L,M,U
ALMU,"Areal aggregate, Other government agency, Model, Unmodified",A,L,M,U
SNMU,"Reported site-specific, NGO or academic institution, Model, Unmodified",S,N,M,U
ANMU,"Areal aggregate, NGO or academic institution, Model, Unmodified",A,N,M,U
SUPU,"Reported site-specific, Water user, Permit, Unmodified",S,U,P,U
AUPU,"Areal aggregate, Water user, Permit, Unmodified",A,U,P,U
SGPU,"Reported site-specific, USGS, Permit, Unmodified",S,G,P,U
AGPU,"Areal aggregate, USGS, Permit, Unmodified",A,G,P,U
EGPU,"Estimated, USGS, Permit, Unmodified",E,G,P,U
SFPU,"Reported site-specific, Federal agency, Permit, Unmodified",S,F,P,U
AFPU,"Areal aggregate, Federal agency, Permit, Unmodified",A,F,P,U
SSPU,"Reported site-specific, State agency, Permit, Unmodified",S,S,P,U
ASPU,"Areal aggregate, State agency, Permit, Unmodified",A,S,P,U
ESPU,"Estimated, State agency, Permit, Unmodified",E,S,P,U
SLPU,"Reported site-specific, Other government agency, Permit, Unmodified",S,L,P,U
ALPU,"Areal aggregate, Other government agency, Permit, Unmodified",A,L,P,U
SNPU,"Reported site-specific, NGO or academic institution, Permit, Unmodified",S,N,P,U
ANPU,"Areal aggregate, NGO or academic institution, Permit, Unmodified",A,N,P,U
SUGU,"Reported site-specific, Water user, Geospatial analysis, Unmodified",S,U,G,U
AUGU,"Areal aggregate, Water user, Geospatial analysis, Unmodified",A,U,G,U
SGGU,"Reported site-specific, USGS, Geospatial analysis, Unmodified",S,G,G,U
AGGU,"Areal aggregate, USGS, Geospatial analysis, Unmodified",A,G,G,U
EGGU,"Estimated, USGS, Geospatial analysis, Unmodified",E,G,G,U
SFGU,"Reported site-specific, Federal agency, Geospatial analysis, Unmodified",S,F,G,U
AFGU,"Areal aggregate, Federal agency, Geospatial analysis, Unmodified",A,F,G,U
SSGU,"Reported site-specific, State agency, Geospatial analysis, Unmodified",S,S,G,U
ASGU,"Areal aggregate, State agency, Geospatial analysis, Unmodified",A,S,G,U
ESGU,"Estimated, State agency, Geospatial analysis, Unmodified",E,S,G,U
SLGU,"Reported site-specific, Other government agency, Geospatial analysis, Unmodified",S,L,G,U
ALGU,"Areal aggregate, Other government agency, Geospatial analysis, Unmodified",A,L,G,U
SNGU,"Reported site-specific, NGO or academic institution, Geospatial analysis, Unmodified",S,N,G,U
ANGU,"Areal aggregate, NGO or academic institution, Geospatial analysis, Unmodified",A,N,G,U
SUAU,"Reported site-specific, Water user, Disaggregated, Unmodified",S,U,A,U
AUAU,"Areal aggregate, Water user, Disaggregated, Unmodified",A,U,A,U
SGAU,"Reported site-specific, USGS, Disaggregated, Unmodified",S,G,A,U
AGAU,"Areal aggregate, USGS, Disaggregated, Unmodified",A,G,A,U
EGAU,"Estimated, USGS, Disaggregated, Unmodified",E,G,A,U
SFAU,"Reported site-specific, Federal agency, Disaggregated, Unmodified",S,F,A,U
AFAU,"Areal aggregate, Federal agency, Disaggregated, Unmodified",A,F,A,U
SSAU,"Reported site-specific, State agency, Disaggregated, Unmodified",S,S,A,U
ASAU,"Areal aggregate, State agency, Disaggregated, Unmodified",A,S,A,U
ESAU,"Estimated, State agency, Disaggregated, Unmodified",E,S,A,U
SLAU,"Reported site-specific, Other government agency, Disaggregated, Unmodified",S,L,A,U
ALAU,"Areal aggregate, Other government agency, Disaggregated, Unmodified",A,L,A,U
SNAU,"Reported site-specific, NGO or academic institution, Disaggregated, Unmodified",S,N,A,U
ANAU,"Areal aggregate, NGO or academic institution, Disaggregated, Unmodified",A,N,A,U
SUBU,"Reported site-specific, Water user, Publicly available resource, Unmodified",S,U,B,U
AUBU,"Areal aggregate, Water user, Publicly available resource, Unmodified",A,U,B,U
SGBU,"Reported site-specific, USGS, Publicly available resource, Unmodified",S,G,B,U
AGBU,"Areal aggregate, USGS, Publicly available resource, Unmodified",A,G,B,U
EGBU,"Estimated, USGS, Publicly available resource, Unmodified",E,G,B,U
SFBU,"Reported site-specific, Federal agency, Publicly available resource, Unmodified",S,F,B,U
AFBU,"Areal aggregate, Federal agency, Publicly available resource, Unmodified",A,F,B,U
SSBU,"Reported site-specific, State agency, Publicly available resource, Unmodified",S,S,B,U
ASBU,"Areal aggregate, State agency, Publicly available resource, Unmodified",A,S,B,U
ESBU,"Estimated, State agency, Publicly available resource, Unmodified",E,S,B,U
SLBU,"Reported site-specific, Other government agency, Publicly available resource, Unmodified",S,L,B,U
ALBU,"Areal aggregate, Other government agency, Publicly available resource, Unmodified",A,L,B,U
SNBU,"Reported site-specific, NGO or academic institution, Publicly available resource, Unmodified",S,N,B,U
ANBU,"Areal aggregate, NGO or academic institution, Publicly available resource, Unmodified",A,N,B,U
SUDU,"Reported site-specific, Water user, Restricted-access dataset, Unmodified",S,U,D,U
AUDU,"Areal aggregate, Water user, Restricted-access dataset, Unmodified",A,U,D,U
SGDU,"Reported site-specific, USGS, Restricted-access dataset, Unmodified",S,G,D,U
AGDU,"Areal aggregate, USGS, Restricted-access dataset, Unmodified",A,G,D,U
EGDU,"Estimated, USGS, Restricted-access dataset, Unmodified",E,G,D,U
SFDU,"Reported site-specific, Federal agency, Restricted-access dataset, Unmodified",S,F,D,U
AFDU,"Areal aggregate, Federal agency, Restricted-access dataset, Unmodified",A,F,D,U
SSDU,"Reported site-specific, State agency, Restricted-access dataset, Unmodified",S,S,D,U
ASDU,"Areal aggregate, State agency, Restricted-access dataset, Unmodified",A,S,D,U
ESDU,"Estimated, State agency, Restricted-access dataset, Unmodified",E,S,D,U
SLDU,"Reported site-specific, Other government agency, Restricted-access dataset, Unmodified",S,L,D,U
ALDU,"Areal aggregate, Other government agency, Restricted-access dataset, Unmodified",A,L,D,U
SNDU,"Reported site-specific, NGO or academic institution, Restricted-access dataset, Unmodified",S,N,D,U
ANDU,"Areal aggregate, NGO or academic institution, Restricted-access dataset, Unmodified",A,N,D,U
SUIU,"Reported site-specific, Water user, Communication, Unmodified",S,U,I,U
AUIU,"Areal aggregate, Water user, Communication, Unmodified",A,U,I,U
SGIU,"Reported site-specific, USGS, Communication, Unmodified",S,G,I,U
AGIU,"Areal aggregate, USGS, Communication, Unmodified",A,G,I,U
EGIU,"Estimated, USGS, Communication, Unmodified",E,G,I,U
SFIU,"Reported site-specific, Federal agency, Communication, Unmodified",S,F,I,U
AFIU,"Areal aggregate, Federal agency, Communication, Unmodified",A,F,I,U
SSIU,"Reported site-specific, State agency, Communication, Unmodified",S,S,I,U
ASIU,"Areal aggregate, State agency, Communication, Unmodified",A,S,I,U
ESIU,"Estimated, State agency, Communication, Unmodified",E,S,I,U
SLIU,"Reported site-specific, Other government agency, Communication, Unmodified",S,L,I,U
ALIU,"Areal aggregate, Other government agency, Communication, Unmodified",A,L,I,U
SNIU,"Reported site-specific, NGO or academic institution, Communication, Unmodified",S,N,I,U
ANIU,"Areal aggregate, NGO or academic institution, Communication, Unmodified",A,N,I,U
SUTM,"Reported site-specific, Water user, Capacity or flow rate, Modified",S,U,T,M
AUTM,"Areal aggregate, Water user, Capacity or flow rate, Modified",A,U,T,M
SGTM,"Reported site-specific, USGS, Capacity or flow rate, Modified",S,G,T,M
AGTM,"Areal aggregate, USGS, Capacity or flow rate, Modified",A,G,T,M
