"Citation:  Lovelace, J.K., Nielsen, M.G., Read, A.L., and Murphy, C.J., 2020, Estimated Groundwater Withdrawals from Principal Aquifers in the United States—County Level Data for 2015: U.S. Geological Survey data release, https://doi.org/10.5066/P9EI0KMR.
[--, no data]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,State_FIPS,CountyAquifer,CountyAquifer Name,PS-GWPop,PS-GWPop-M,PS-WGWFr,PS-WGWFr-M,PS-WGWSa,PS-WGWSa-M,PS-WGWTo,DO-WGWFr,DO-WGWFr-M,DO-SSPop,DO-SSPop-M,IN-WGWFr,IN-WGWFr-M,IN-WGWSa,IN-WGWSa-M,IN-WGWTo,PO-WGWFr,PO-WGWFr-M,PO-WGWSa,PO-WGWSa-M,PO-WGWTo,PC-WGWFr,PC-WGWFr-M,PC-WGWSa,PC-WGWSa-M,PC-WGWTo,PT-WGWFr,PT-WGWSa,PT-WGWTo,MI-WGWFr,MI-WGWFr-M,MI-WGWSa,MI-WGWSa-M,MI-WGWTo,LI-WGWFr,LI-WGWFr-M,AQ-WGWFr,AQ-WGWFr-M,AQ-WGWSa,AQ-WGWSa-M,AQ-WGWTo,IC-WGWFr,IC-WGWFr-M,IG-WGWFr,IG-WGWFr-M,IR-WGWFr,IR-WGWFr-M,IT-WGWFr,TO-WGWFr,TO-WGWSa,TO-WGWTo
Alabama,1,01-001-N100ALLUVL,AL-Autauga County-Alluvial aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.1,EGAM,0,EGAM,0.1,0.01,EGAM,0,EGAM,0,EGAM,0,0.24,EGAM,0,EGAM,--,--,0.24,0.35,0,0.35
Alabama,1,01-001-N9999OTHER,AL-Autauga County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-001-S100SECSLP,AL-Autauga County-Southeastern Coastal Plain aquifer system,--,--,3.64,EGAM,0,EGAM,3.64,0.38,EGAM,6.349,EGAM,1.83,EGAM,0,EGAM,1.83,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,1.3,EGAM,0,EGAM,1.3,0.07,EGAM,0,EGAM,0,EGAM,0,3.12,EGAM,0,EGAM,--,--,3.12,10.34,0,10.34
Alabama,1,01-003-N100ALLUVL,AL-Baldwin County-Alluvial aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.01,EGAM,0,EGAM,0.01,0.01,EGAM,0,EGAM,0,EGAM,0,2.7,EGAM,0,EGAM,--,--,2.7,2.72,0,2.72
Alabama,1,01-003-N9999OTHER,AL-Baldwin County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-003-S100CSLLWD,AL-Baldwin County-Coastal lowlands aquifer system,--,--,23.67,EGAM,0,EGAM,23.67,2.14,EGAM,28.802,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.21,EGAM,0,EGAM,0.21,0.12,EGAM,0.05,EGAM,0,EGAM,0.05,44.47,EGAM,0,EGAM,--,--,44.47,70.66,0,70.66
Alabama,1,01-003-S100SECSLP,AL-Baldwin County-Southeastern Coastal Plain aquifer system,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-003-S100SURFCL,AL-Baldwin County-Surficial aquifer system,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-003-S400FLORDN,AL-Baldwin County-Floridan aquifer system,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-005-N9999OTHER,AL-Barbour County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
